0,0,11,47,0,0,0,0
0,0,70,282,0,0,0,0
0,0,29,185,0,0,0,0
0,0,192,110,0,0,0,0
39,0,0,196,0,63,0,9
0,3,49,308,0,3,0,0
0,1,30,17,0,0,0,0
0,0,107,11,5,0,0,0
1,0,38,143,0,1,2,0
0,31,10,76,0,0,0,0
0,0,56,49,0,1,0,0
0,0,171,67,0,0,43,0
10,18,1,140,1,0,69,0
0,0,240,0,0,0,0,0
4,0,60,75,0,0,0,0
0,0,0,111,0,18,0,82
4,1,98,189,0,0,0,0
0,0,9,180,0,0,0,0
0,0,62,105,2,25,0,0
0,0,160,87,0,0,1,0
0,0,0,172,0,0,6,0
3,2,166,160,0,0,0,3
10,0,120,87,0,0,0,0
56,16,1,106,0,0,1,0
0,0,5,180,0,0,11,0
9,8,0,121,0,49,0,0
11,0,991,413,0,0,0,78
54,0,0,179,0,3,0,0
0,0,0,196,0,12,0,0
0,0,0,115,2,0,0,0
0,0,131,75,0,0,0,0
0,0,0,123,0,25,0,17
0,0,58,162,0,49,0,111
4,0,0,295,0,0,0,0
32,0,62,76,3,1,0,0
0,2,86,136,0,0,0,0
59,1,76,181,11,0,1,0
3,0,0,220,0,0,0,0
0,26,328,184,0,0,0,0
5,1,69,38,0,16,0,0
0,0,1,122,0,0,1,0
0,13,197,37,0,0,0,0
0,0,43,16,0,0,0,0
36,9,135,0,0,6,0,0
0,55,108,96,0,66,0,0
1,2,161,127,0,0,0,0
0,0,0,49,0,0,0,0
0,0,0,199,0,0,0,0
0,0,105,34,0,0,0,0
10,0,24,158,0,0,0,1
4,0,6,179,0,0,0,0
147,0,7,169,31,0,0,0
3,3,0,816,22,0,0,0
0,67,3,64,0,20,7,0
14,0,209,136,0,209,0,0
0,5,194,63,0,0,0,0
1,0,0,208,0,35,0,0
43,0,0,133,0,57,0,0
149,16,0,183,0,3,23,14
5,0,145,43,0,0,0,0
5,0,212,257,0,11,0,0
0,25,1,213,0,5,1,0
7,0,112,103,0,0,0,0
39,65,106,393,0,150,0,0
0,0,130,134,0,4,0,0
40,12,0,166,0,0,0,4
0,3,0,209,0,4,0,0
1,15,4,573,0,0,0,15
0,1,58,72,0,30,0,0
0,0,109,53,0,0,0,0
0,1,95,755,1,0,2,0
26,0,44,106,0,0,0,0
0,0,9,597,0,0,0,0
0,11,93,144,0,18,0,0
0,0,9,104,0,0,1,0
0,30,33,89,0,20,0,48
0,0,32,44,0,0,4,1
0,0,12,34,0,0,0,0
0,0,33,31,0,3,0,0
23,2,8,277,0,22,0,0
0,0,85,0,0,0,0,0
0,0,435,2,0,0,0,0
0,0,42,15,0,1,0,0
0,0,56,43,0,0,2,0
0,0,29,26,0,0,0,0
0,0,15,178,0,0,0,0
0,0,0,111,0,0,0,0
0,1,0,401,0,0,0,0
52,0,0,394,0,0,0,0
0,26,6,81,0,2,0,0
7,0,100,54,0,0,0,0
2,9,0,470,0,0,0,0
0,74,0,83,0,4,0,0
0,0,168,24,0,0,0,0
0,3,91,57,0,0,0,7
0,0,79,41,0,0,0,0
26,4,31,92,16,1784,142,52
305,0,1,1787,2,78,0,0
0,1,11,43,0,0,0,0
0,1,0,501,0,0,0,3
0,0,0,115,0,0,0,0
0,0,196,47,0,0,0,0
0,0,266,0,0,0,0,0
0,0,233,107,0,0,0,0
1,0,0,131,0,0,0,0
4,4,0,392,0,0,0,0
0,45,102,120,0,0,0,0
0,33,107,135,0,2,1,0
0,0,0,672,13,1,0,0
0,0,58,50,0,3,0,0
3,0,16,335,0,0,1,0
50,13,0,105,0,0,6,0
0,0,93,46,1,0,0,3
0,0,68,124,0,0,0,0
0,3,0,158,0,0,0,21
0,0,0,103,0,0,2,0
5,36,2,313,0,0,0,0
20,0,102,141,0,0,0,0
134,0,79,104,0,0,0,0
3,0,35,50,0,0,0,0
0,10,186,108,0,0,0,0
1,0,0,204,0,0,0,0
3,0,26,13,0,0,0,10
0,0,0,286,0,0,0,1
0,37,0,108,0,2,9,39
12,1,32,359,1,0,0,0
12,10,54,43,0,0,0,1
0,0,0,387,0,11,0,2
0,0,1,630,0,0,0,0
0,0,49,150,0,0,0,1
1,0,43,69,0,0,0,0
0,0,0,119,0,0,0,0
41,68,38,114,0,19,2,0
3,0,154,18,0,42,1,0
259,0,218,48,0,18,0,0
0,0,10,138,0,69,1,0
0,1,0,385,0,0,0,0
38,5,1,83,1,9,0,0
102,0,3,329,0,20,0,0
0,14,0,57,0,9,0,95
0,11,72,219,0,0,0,0
0,0,64,0,0,4,0,0
0,0,9,111,0,0,0,0
0,0,34,18,6,4,0,9
0,81,2,31,0,0,0,0
0,1,48,21,212,0,9,73
0,0,9,42,1,0,0,0
18,0,40,79,20,0,0,0
0,0,0,104,0,0,0,0
15,28,7,79,0,19,0,0
0,69,35,55,0,10,0,94
39,0,0,106,0,0,1,6
0,13,118,74,0,0,0,0
1,66,22,75,0,21,0,21
0,17,75,173,0,0,0,0
0,0,61,97,0,0,0,0
0,0,153,26,0,0,0,0
0,0,45,244,0,0,0,0
0,0,0,187,0,0,0,0
0,0,0,124,0,0,0,0
46,0,2,149,0,0,0,0
0,12,30,218,0,7,0,9
4,0,125,66,0,0,0,0
18,0,148,195,0,61,0,62
1,242,0,99,0,52,0,0
84,0,0,359,25,3728,383,211
1,1,83,45,25,0,0,0
21,2,108,5,53,56,7,0
0,4,193,96,0,0,0,0
0,0,0,83,0,1,0,0
127,0,118,121,57,759,129,0
0,0,63,70,0,0,0,0
7,1,173,153,0,0,0,0
0,0,0,51,0,0,0,0
0,0,22,20,0,4,0,0
0,0,37,8,0,8,0,0
3,0,12,28,0,0,8,0
0,3,1,35,0,9,0,0
0,0,19,151,0,0,0,0
24558,901,8718,3634,5660,61129,4305,1813
0,0,177,144,0,0,0,2
0,1,6,61,0,0,1,0
15,23,21,132,0,19,0,0
0,0,48,5,0,0,0,0
0,0,76,53,0,17,0,16
0,17,117,15,0,24,0,0
1002,200,96,12575,4396,3257,652,317
115,3,8,140,49,721,110,0
18,0,0,102,0,115,8,0
0,0,106,0,0,35,2,0
0,0,0,36,0,58,28,0
0,0,60,0,0,0,0,0
0,0,0,29,0,14,12,0
0,0,44,1,0,10,0,0
1,0,11,101,0,0,0,0
0,4,64,0,13,51,16,0
0,0,23,175,73,0,0,11
0,0,12,154,0,0,0,0
3,0,116,255,0,0,0,1
0,2,69,48,0,25,2,0
0,0,0,52,0,0,0,1
