293,289,308,382,578,288,265,395,341,330,410,753,309,323,275
187,99,148,651,76,442,584,331,358,299,5,41,380,11,136
358,292,1017,287,298,331,414,304,375,58,795,73,41,288,200
293,172,308,322,265,148,99,341,321,551,292,181,309,1382,168
77,491,1990,3,580,1993,284,176,17,70,245,260,1192,141,170
288,289,308,333,183,222,291,410,295,181,290,786,269,439,189
147,211,8,54,665,181,2035,2,102,172,2036,11,148,164,175
41,977,275,3,294,380,4,308,360,265,297,172,549,1060,423
181,172,222,513,148,267,322,147,281,270,385,41,484,313,360
307,288,315,293,297,11,86,498,296,314,278,285,309,322,148
